pricelow,pricehigh,count
0,10,22
11,20,39
21,30,449
31,40,1656
41,50,3015
51,60,2847
61,70,2899
71,80,2898
81,90,2344
91,100,3227
101,110,1304
111,120,1745
121,130,1793
131,140,1161
141,150,2315
151,160,861
161,170,724
171,180,1274
181,190,637
191,200,1734
201,210,227
211,220,373
221,230,553
231,240,247
241,250,957
251,260,153
261,270,136
271,280,295
281,290,149
291,300,618
301,310,43
311,320,57
321,330,138
331,340,39
341,350,314
351,360,41
361,370,34
371,380,100
381,390,39
391,400,257
401,410,18
411,420,30
421,430,41
431,440,15
441,450,118
451,460,17
461,470,13
471,480,32
481,490,24
491,500,186
